id,Title,Content,SKU,"Product Type","Parent Product ID",Test,Trucks,Wheels,"Product Attributes","Regular Price"
909,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Gunmetal grey 165mm 50° RKP","Skiffs 83a",,80
908,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Gunmetal Grey 180mm 43° RKP","Skiffs 83a",,80
904,"Hibiscus complete",,,variable,332,,"Paris Street Trucks RAW 169mm TKP","Skiffs 86a",,80
906,"Hibiscus complete",,,variable,332,,"Paris Trucks Tiffany White 180mm 50° RKP","Skiffs 83a",,80
905,"Hibiscus complete",,,variable,332,,"Paris Trucks White 180mm 43° RKP","Skiffs 83a",,80
889,"Hibiscus complete",,,variable,332,,"Paris Trucks White 180mm 43° RKP","Skiffs 86a",,80
890,"Hibiscus complete",,,variable,332,,"Paris Trucks Tiffany White 180mm 50° RKP","Skiffs 86a",,80
891,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Gunmetal Grey 180mm 50° RKP","Skiffs 86a",,80
892,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Gunmetal Grey 180mm 43° RKP","Skiffs 86a",,80
565,Hibiscus,,,simple,0,,,,a:0:{},120
273,"Variation n&deg;273 sur The shred complete (Copier)",,,variable,272,,bears-grizzly-gen-5,mini-monster,,350
274,"Variation n&deg;274 sur The shred complete (Copier)",,,variable,272,,bear-kodiaks,mini-monster,,350
275,"Variation n&deg;275 sur The shred complete (Copier)",,,variable,272,,bears-grizzly-gen-5,fatties,,350
276,"Variation n&deg;276 sur The shred complete (Copier)",,,variable,272,,bear-kodiaks,fatties,,350
277,"Variation n&deg;277 sur The shred complete (Copier)",,,variable,272,,bears-grizzly-gen-5,boss,,3500
278,"Variation n&deg;278 sur The shred complete (Copier)",,,variable,272,,bear-kodiaks,boss,,350
1067,"Hibiscus complete",,,variable,332,,,,,80
1066,"Hibiscus complete",,,variable,332,,,,,80
564,Alaia,,,simple,0,,,,a:0:{},120
563,"MARBLE 40",,,simple,0,,,,a:0:{},190
562,"MARBLE 38",,,simple,0,,,,a:0:{},190
561,"ROCKET V2",,,simple,0,,,,a:0:{},200
560,JIG,,,simple,0,,,,a:0:{},200
559,AB,,,simple,0,,,,a:0:{},200
558,"Morning Wood",,,simple,0,,,,a:0:{},150
555,Cruise,,,simple,0,,,,a:0:{},140
554,Choka,,554,simple,0,,,,a:0:{},120
566,Shred,,,simple,0,,,,a:0:{},150
